3:31	Best One 2019 was removed from the square.
5:43	จิรนันท์ ทับเนียม	จิรนันท์ ทับเนียม shared an OpenChat note.
7:18	ต่อ มักกะสัน เพื่อน😁	ลูกชายเพื่อน เป็นไข้เลือดออก 
12:18	เบญญาภา ประทุมทอง	สวัสดีค่ะ กัลยาณมิตร ทุกๆ ท่าน
12:20	เบญญาภา ประทุมทอง	จงเบิกบาน เบิกบาน และเบิกบาน จงเบิกบาน ตามอมตะ ธรรม สาธุ
13:42	Nui (ในสายธรรม) joined the chat.
13:54	Juk joined the chat.
14:56	Chalor joined the chat.
16:02	Pa Chee joined the chat.
16:16	ณรงค์ ศรีเมือง joined the chat.
16:23	Pornpimon	สวัสดีค่ะ ขอเรียนถามปัญหาท่านผู้รู้หน่อยนะคะ คือเพื่อนเขาเป็นโรคไตเสื่อมมีค่าGFR ประมาณ 48 เขากินน้ำต้มอ้อยแดงตามคลิปในยูทูป ใช้เวลา 1 เดือน ไปเจาะเลือดตรวจดูพบว่าค่า GFR เป็น 98 ไตหายเสื่อมกลับมาเป็นปกติเลยค่ะ นอกจากนี้เขาเอาอ้อยแดงให้เพื่อนอีกคนทีีเป็นเบาหวานกินก็พบว่าค่าน้ำตาลในเลือดลดลง ดิฉันก็เลยสงสัยว่าอ้อยแดงจะมีผลข้างเคียงอะไรไหมคะถ้าเอามากินเป็นประจำเพื่อรักษา หรือเราจะใช้วิธียา 9 เม็ดตามแบบอาจารย์หมอเขียวจะดีกว่าไหมคะ
17:29	หมอติ้ว นวดแผนโบราณ	เป็นหวัดทำอย่างไรให้หายเร็วค่ะใครรุ้ช่วยตอบทีค่ะ
17:29	หมอติ้ว นวดแผนโบราณ	มือใหม่ค่ะ
17:30	หมอติ้ว นวดแผนโบราณ	ขอบคุณน่ะค่ะ
17:32	TYPHOON	ทำตามยา9เม็ดที่ทำได้ ปรับอาหาร ดื่มน้ำสี่พลัง และทำใจอย่างเร่งผลครับ จะหายเร็วครับ
17:34	หมอติ้ว นวดแผนโบราณ	ขอบคุณมากค่ะ
18:10	Sopa joined the chat.
3:15	Best Business 2019 was removed from the square.
7:21	The Best One joined the chat.
7:23	The Best One was removed from the square.
7:46	TYPHOON	แอดครับลบโพสด้วยครับ
7:53	Lah	ลบแล้ว นะคะ
7:55	Lah	ดีค่ะ ช่วยสอดส่อง
คนมีศีล จะไม่เบียดเบียนคนอื่น 
7:57	ไหม(ชุติวรรณ)	[Video]
14:41	น้อย คงกตัญญูสกุล	สาธุคะ
22:27	Best One 2019 joined the chat.
9:34	Lah	ฝึกทำdetox
ดีกว่ากินยาค่ะ
9:35	Lah	[Photo]
9:35	Lah	บ้านอยู่ไหนคะ
มีค่ายหลายที่
สะดวกที่ไหน
เชิญค่ะ
9:52	หมูไสปร์ซี่	วิทยาลัยเปิดแล้วไปเข้าคา่ยไม่ได้ค่ะแนะนำให้ทำสวนลา้งแล้วค่ะ
9:54	หมูไสปร์ซี่	พิษณุโลกค่ะ
11:47	lotty	หาเวลาไปเข้าค่ายให้ได้ซักครั้งค่ะ..อยู่ไม่ครบก็ไม่เป็นไร..ลูกสาวเราเคยไปค่าย9วัน..อยูได้3วันกลับไปทำงานแล้วกลับค่ายอีกก็เคย..เข้าค่ายจะได้อะไรเยอะกว่าทำที่บ้านได้สุขภาพกายใจหมู่กลุ่มพลังความดีหายโรคเร็วค่ะ..ลูกสาวเคยอยู่บ้านแสนสะดวกสบายไปค่ายลำบากกลัวทนไม่ได้แต่ผิดคาดนางทำได้ทุกอย่างทั้งดื่ม-ใช้น้ำปัสสาวะด้วย..พลังความดีมีมากมายในค่าย..ไปแล้วขะติดใจต้องไปอีกหลาบๆครั้ง..หาโอกาสไปให้ได้..หมอที่ดีที่สุดคือตัวเราเอง..(happy)(hahaha)(LOL)
11:52	ย่าจ๋า.	วันนี้เป็นวันสิ้นปีเก่าแล้วปีใหม่จะมาถึงอีกไม่กีชั่วโมงนี้ขออนุญาตเล่าเรื่องเก่าๆในปีเก่าให้สมาชิกในกลุ่มพวธ.ฟังว่าเรื่องป่วยกายป่วยใจมันเป็นทุกข์อันยิ่งใหญ่สำหรับตัวเราแต่ก็ด้วยวิบากเราคงน้อยนิดที่ได้มาเรียนรู้วิธีดูแลสุขภาพด้วยแบบของพวธ.กราบขอบพระคุณท่านอจ.หมอเขียวและขอบพระคุณพี่ๆจิตอาสาทุกท่านพี่น้องร่วยค่ายที่ให้ความรู้เรื่องดูแลสุขภาพ ตอนนี้ตัวเรามีความสุขใจสุขกายเราไม่ต้องมานั่งเกาขึ้กลากอีกแล้วค่ะตัวเรามีความสุขกายสุขใจและอยากส่งความสุขนี้มายังพี่น้องร่วมค่ายทุกท่านขอให้ท่านจงมีสุขภาพแข็งแรงและหมั่นศึกษายา๙เม็ดไว้ดูแลรักษาตนให้หายจาก
อาการป่วยกายป่วยใจของตนเองแล้วสุขภาพที่แข็งแรงเบากายมีพลังก็จะเป็นของพี่น้องทุกท่านค่ะ สาธุ
12:39	Lah	ค่ะ ความลำบาก ทำให้กุศลธรรมเจริญยิ่ง
12:40	Lah	สวน3ยินดีต้อนรับค่ะ
13:38	กานวรัช ศรีจุลฮาต	[Sticker]
14:24	หมูไสปร์ซี่	ขอบคุณมากๆค่ะ
19:23	ยายก้าน	ขอบคุณคะอาจารย์
19:42	Tee Review	" ไม่ต้องตื่นเต้นกับวันใหม่ ปีใหม่ อันนั้นมันหมุนไปตามเรื่องของมัน วันหนึ่ง เดือนหนึ่ง ปีหนึ่ง อันนั้นเป็นสมมุติบัญญัติขึ้นมา 
อันที่เราควรจะตื่นเต้นนั้น ควรตื่นเต้นที่ตัวของเราว่า วันหนึ่งๆ  เดือนหนึ่ง ปีหนึ่ง เราเจริญขึ้น หรือว่าเราเสื่อมลง อันนั้นต่างหาก 
เราเห็นความเสื่อม ความเจริญของเราแท้จริง ร่างกายของเรา มันเจริญขึ้นไม่มีหรอก  มีแต่เสื่อมลง เกิดขึ้นมาแล้วก็เสื่อมลงทุกที ๆ"
